PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25561516","Transparent reporting of a multivariable prediction model for individual prognosis or diagnosis (TRIPOD): the TRIPOD statement. The TRIPOD Group","Collins GS, Reitsma JB, Altman DG, Moons KG; TRIPOD Group.","Circulation. 2015 Jan 13;131(2):211-9. doi: 10.1161/CIRCULATIONAHA.114.014508. Epub 2015 Jan 5.","Collins GS","Circulation","2015","2015/01/07","PMC4297220","","10.1161/CIRCULATIONAHA.114.014508"
"33921502","Cardiac Computed Tomography Radiomics for the Non-Invasive Assessment of Coronary Inflammation","Cheng K, Lin A, Yuvaraj J, Nicholls SJ, Wong DTL.","Cells. 2021 Apr 12;10(4):879. doi: 10.3390/cells10040879.","Cheng K","Cells","2021","2021/04/30","PMC8069372","","10.3390/cells10040879"
"39036502","Performance of federated learning-based models in the Dutch TAVI population was comparable to central strategies and outperformed local strategies","Yordanov TR, Ravelli ACJ, Amiri S, Vis M, Houterman S, Van der Voort SR, Abu-Hanna A.","Front Cardiovasc Med. 2024 Jul 5;11:1399138. doi: 10.3389/fcvm.2024.1399138. eCollection 2024.","Yordanov TR","Front Cardiovasc Med","2024","2024/07/22","PMC11257923","","10.3389/fcvm.2024.1399138"
"36793660","Prediction Models for Knee Osteoarthritis: Review of Current Models and Future Directions","Ramazanian T, Fu S, Sohn S, Taunton MJ, Kremers HM.","Arch Bone Jt Surg. 2023;11(1):1-11. doi: 10.22038/ABJS.2022.58485.2897.","Ramazanian T","Arch Bone Jt Surg","2023","2023/02/16","PMC9903309","","10.22038/ABJS.2022.58485.2897"
"36759177","Prediction of short-term atrial fibrillation risk using primary care electronic health records","Nadarajah R, Wu J, Hogg D, Raveendra K, Nakao YM, Nakao K, Arbel R, Haim M, Zahger D, Parry J, Bates C, Cowan C, Gale CP.","Heart. 2023 Jun 26;109(14):1072-1079. doi: 10.1136/heartjnl-2022-322076.","Nadarajah R","Heart","2023","2023/02/09","PMC10359547","","10.1136/heartjnl-2022-322076"
"36530210","The predictive performance of criminal risk assessment tools used at sentencing: Systematic review of validation studies","Fazel S, Burghart M, Fanshawe T, Gil SD, Monahan J, Yu R.","J Crim Justice. 2022 Jul-Aug;81:101902. doi: 10.1016/j.jcrimjus.2022.101902.","Fazel S","J Crim Justice","2022","2022/12/19","PMC9755051","","10.1016/j.jcrimjus.2022.101902"
"35425973","Inferior mesenteric artery diameter and number of patent lumbar arteries as factors associated with significant type 2 endoleak after infrarenal endovascular aneurysm repair","Kondov S, Dimov A, Beyersdorf F, Maruschke L, Pooth JS, Kreibich M, Kaier K, Siepe M, Czerny M, Rylski B.","Interact Cardiovasc Thorac Surg. 2022 Jun 15;35(1):ivac016. doi: 10.1093/icvts/ivac016.","Kondov S","Interact Cardiovasc Thorac Surg","2022","2022/04/15","PMC9252125","","10.1093/icvts/ivac016"
"37907482","Predictors of functional outcome after thrombectomy for M2 occlusions: a large scale experience from clinical practice","Kniep H, Meyer L, Broocks G, Bechstein M, Guerreiro H, Winkelmeier L, Brekenfeld C, Flottmann F, Deb-Chatterji M, Alegiani A, Hanning U, Thomalla G, Fiehler J, Gellißen S; German Stroke Registry – Endovascular Treatment (GSR – ET).","Sci Rep. 2023 Oct 31;13(1):18740. doi: 10.1038/s41598-023-45232-x.","Kniep H","Sci Rep","2023","2023/11/01","PMC10618211","","10.1038/s41598-023-45232-x"
"31312112","Comprehensive bioinformatics analysis reveals potential lncRNA biomarkers for overall survival in patients with hepatocellular carcinoma: an on-line individual risk calculator based on TCGA cohort","Zhang Z, Ouyang Y, Huang Y, Wang P, Li J, He T, Liu Q.","Cancer Cell Int. 2019 Jul 4;19:174. doi: 10.1186/s12935-019-0890-2. eCollection 2019.","Zhang Z","Cancer Cell Int","2019","2019/07/18","PMC6611026","","10.1186/s12935-019-0890-2"
"34231088","A matter of frailty: the modified Subdural Hematoma in the Elderly (mSHE) score","Hernández-Durán S, Behme D, Rohde V, von der Brelie C.","Neurosurg Rev. 2022 Feb;45(1):701-708. doi: 10.1007/s10143-021-01586-2. Epub 2021 Jul 6.","Hernández-Durán S","Neurosurg Rev","2022","2021/07/07","PMC8827338","","10.1007/s10143-021-01586-2"
