PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25563062","Transparent reporting of a multivariable prediction model for individual prognosis or diagnosis (TRIPOD): the TRIPOD Statement","Collins GS, Reitsma JB, Altman DG, Moons KG.","BMC Med. 2015 Jan 6;13:1. doi: 10.1186/s12916-014-0241-z.","Collins GS","BMC Med","2015","2015/01/08","PMC4284921","","10.1186/s12916-014-0241-z"
"27037016","A prospective cohort study of 14-3-3η in ACPA and/or RF-positive patients with arthralgia","van Beers-Tas MH, Marotta A, Boers M, Maksymowych WP, van Schaardenburg D.","Arthritis Res Ther. 2016 Apr 1;18:76. doi: 10.1186/s13075-016-0975-4.","van Beers-Tas MH","Arthritis Res Ther","2016","2016/04/03","PMC4818496","","10.1186/s13075-016-0975-4"
"33972243","A Pragmatic Machine Learning Model To Predict Carbapenem Resistance","McGuire RJ, Yu SC, Payne PRO, Lai AM, Vazquez-Guillamet MC, Kollef MH, Michelson AP.","Antimicrob Agents Chemother. 2021 Jun 17;65(7):e0006321. doi: 10.1128/AAC.00063-21. Epub 2021 Jun 17.","McGuire RJ","Antimicrob Agents Chemother","2021","2021/05/11","PMC8218615","","10.1128/AAC.00063-21"
"36109106","Clinical Risk Score to Predict Pathogenic Genotypes in Patients With Dilated Cardiomyopathy","Escobar-Lopez L, Ochoa JP, Royuela A, Verdonschot JAJ, Dal Ferro M, Espinosa MA, Sabater-Molina M, Gallego-Delgado M, Larrañaga-Moreira JM, Garcia-Pinilla JM, Basurte-Elorz MT, Rodríguez-Palomares JF, Climent V, Bermudez-Jimenez FJ, Mogollón-Jiménez MV, Lopez J, Peña-Peña ML, Garcia-Alvarez A, López-Abel B, Ripoll-Vera T, Palomino-Doza J, Bayes-Genis A, Brugada R, Idiazabal U, Mirelis JG, Dominguez F, Henkens MTHM, Krapels IPC, Brunner HG, Paldino A, Zaffalon D, Mestroni L, Sinagra G, Heymans SRB, Merlo M, Garcia-Pavia P.","J Am Coll Cardiol. 2022 Sep 20;80(12):1115-1126. doi: 10.1016/j.jacc.2022.06.040.","Escobar-Lopez L","J Am Coll Cardiol","2022","2022/09/15","PMC10804447","NIHMS1959626","10.1016/j.jacc.2022.06.040"
"39318684","The use of imputation in clinical decision support systems: a cardiovascular risk management pilot vignette study among clinicians","Haitjema S, Nijman SWJ, Verkouter I, Jacobs JJL, Asselbergs FW, Moons KGM, Beekers I, Debray TPA, Bots ML.","Eur Heart J Digit Health. 2024 Aug 10;5(5):572-581. doi: 10.1093/ehjdh/ztae058. eCollection 2024 Sep.","Haitjema S","Eur Heart J Digit Health","2024","2024/09/25","PMC11417486","","10.1093/ehjdh/ztae058"
"36452944","Symptom diaries as a digital tool to detect SARS-CoV-2 infections and differentiate between prevalent variants","Grüne B, Kugler S, Ginzel S, Wolff A, Buess M, Kossow A, Küfer-Weiß A, Rüping S, Neuhann F.","Front Public Health. 2022 Nov 14;10:1030939. doi: 10.3389/fpubh.2022.1030939. eCollection 2022.","Grüne B","Front Public Health","2022","2022/12/01","PMC9701827","","10.3389/fpubh.2022.1030939"
"38273315","Proteomics for heart failure risk stratification: a systematic review","Kuku KO, Oyetoro R, Hashemian M, Livinski AA, Shearer JJ, Joo J, Psaty BM, Levy D, Ganz P, Roger VL.","BMC Med. 2024 Jan 25;22(1):34. doi: 10.1186/s12916-024-03249-7.","Kuku KO","BMC Med","2024","2024/01/25","PMC10809595","","10.1186/s12916-024-03249-7"
"32874110","Association between Functional Performance and Return to Performance in High-Impact Sports after Lower Extremity Injury: A Systematic Review","Vereijken A, Aerts I, Jetten J, Tassignon B, Verschueren J, Meeusen R, van Trijffel E.","J Sports Sci Med. 2020 Aug 13;19(3):564-576. eCollection 2020 Sep.","Vereijken A","J Sports Sci Med","2020","2020/09/03","PMC7429422","",""
"38240806","Reply to Letter to the Editor: ""Obsolescence of nomograms in radiomics research""","Akinci D'Antonoli T, Mercaldo ND.","Eur Radiol. 2024 Aug;34(8):5054-5055. doi: 10.1007/s00330-023-10570-x. Epub 2024 Jan 19.","Akinci D'Antonoli T","Eur Radiol","2024","2024/01/19","","","10.1007/s00330-023-10570-x"
"35394135","Prediction of complications and surgery duration in primary TKA with high accuracy using machine learning with arthroplasty-specific data","Hinterwimmer F, Lazic I, Langer S, Suren C, Charitou F, Hirschmann MT, Matziolis G, Seidl F, Pohlig F, Rueckert D, Burgkart R, von Eisenhart-Rothe R.","Knee Surg Sports Traumatol Arthrosc. 2023 Apr;31(4):1323-1333. doi: 10.1007/s00167-022-06957-w. Epub 2022 Apr 8.","Hinterwimmer F","Knee Surg Sports Traumatol Arthrosc","2023","2022/04/08","PMC10050062","","10.1007/s00167-022-06957-w"
